query_tx_hash,sender_tx_hash,receiver_tx_hash,sender_address,receiver_address,sender_chain,receiver_chain,bridge_type,status,job_id
0x6a062c3a23996e7787180e29f3ed05864132178dbbda3db79a96f3ff335df965,0x6a062c3a23996e7787180e29f3ed05864132178dbbda3db79a96f3ff335df965,0xa10dadbbaf37af616fbb9c246b237667dd0faf6cba2c1b158660209ada4d05ec,0x705f95654ab855abebb5aca678887c3333fb99c4,0x705f95654ab855abebb5aca678887c3333fb99c4,arb1,hyper-evm,cctpv2,SUCCEEDED,YXJiMS8weDRhMjEyNmRiNzBiZjc5YzQ4M2MxYTA5MDZkNThmOWM0OGQ3YTkxM2NjMzkzMWQ5MjFhODk2ODZmNTY3MWNkZDQ
0xb84b64e22fec7bc142e733ffd4f707e5f5ac778aceb82644a1173c33dd187ea1,0xb84b64e22fec7bc142e733ffd4f707e5f5ac778aceb82644a1173c33dd187ea1,,0x4db31a5351bab07eb8fe0ecee189f4bfaa7b34e0,0xc1062b7c5dc8e4b1df9f200fe360cdc0ed6e7741,arb1,15,cctpv2,PENDING,YXJiMS8weDYzNDM4YWMyOTdiZGQ0ZGE2Yzc0MWRmYjRjNGZhYWVkYTcwZTdmM2U4MTQ1MDI3MWQ0MTg4OGM4MWQyZmFmMWY
0x75321a6c4f6005d1475dc03c89b61657f705b120f930c4957ffa73f9f860e229,0x75321a6c4f6005d1475dc03c89b61657f705b120f930c4957ffa73f9f860e229,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDJhYWZjNzc4ZGM5NDFiMmZkNTMwY2RkOWE5MzQ5YWU3NjQyYWFjOTNmZGU1ZDRlOGE3OTNjYjA0ZWNjMzViMDI
0x33eef3b35280667b8387cda02851a36bec8db8fe392c68171af996a6490404f8,0x33eef3b35280667b8387cda02851a36bec8db8fe392c68171af996a6490404f8,0xe6a40c17d1b916235ea36ca1c620cc5dd8902211326ece0964215b1254a10448,0x7ab03a4c2512d518869858f849139be3c8b9ec21,0x7ab03a4c2512d518869858f849139be3c8b9ec21,arb1,base,cctpv2,SUCCEEDED,YXJiMS8weGM3N2Y5NzM4NDdlNzBmNzk3ZDE3ZGM3MGE0NTRkMzkyNGU5ZmU4ZWNiY2MxZWFmMTdjNGNmOGI3YzUzZTlhM2E
0x6bff042373eb04c8e41114418945df8577eebe60bc83155f09f488d9fc412902,0x6bff042373eb04c8e41114418945df8577eebe60bc83155f09f488d9fc412902,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGRiZmRkZTYxYzUxMmM2YjM2YmE5YzVkYTRiZjNkNzdlNDNmMjM1MDVkODE2NmM4ZjdjZGJhZWYyYjNhNWM3YzA
0x0287c39eb3815f4c05f8903eb04791da9a2a04b3ece4b91837f3acbec694dbb1,0x0287c39eb3815f4c05f8903eb04791da9a2a04b3ece4b91837f3acbec694dbb1,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGRhOGY1NjA5NDg1NmM5YzQ5ZjI5YTA2Y2RlN2JmOGIwZjVmNTZjNmI0ZjBlYmM4ZmYzN2IwMmUzODU0ZDNmNWY
0xc594d13100a9933020063dee61fa9ea51ac41463fc6e8231a602f2dd37d45468,0xc594d13100a9933020063dee61fa9ea51ac41463fc6e8231a602f2dd37d45468,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDJjOWI5YzU0NjVjZDI1MzE5NjJhZDQ1MzUwYWQ3MDdlNDdmMGViOWY0YThjMTM5MDBlZjYwMTNkMTg1NTI4ZWQ
0xf6d0034ffec007cd5d505a4e81ee069389cb9a896915e7ab55a148ac0b507954,0xf6d0034ffec007cd5d505a4e81ee069389cb9a896915e7ab55a148ac0b507954,0x94646c2095d17f990680d017f0099cbcaabcacc2c84add230c58eae6f3b90e37,0xd91a413f30ff29a3853c01c6ffade658b80ca41c,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,arb1,base,cctp,SUCCEEDED,YXJiMS84Mjg5ODI
0xa538fb26220ad26a508535cbc5ba1bbdcd5cc6fe2211832242500a01fd73ded3,0xa538fb26220ad26a508535cbc5ba1bbdcd5cc6fe2211832242500a01fd73ded3,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGNkMDM2MzhiMmY4YzMzNmYyZDM3YTllMGJkNWRlOWVjNjIxZmUyYTFjZjc1NDRmMzAzYTc0ZmI5ZTY2NzA4NjE
0xa39b358a8d6679b4da136da37a1cacd15e63ee33af9aee31541435778b06aa11,0xa39b358a8d6679b4da136da37a1cacd15e63ee33af9aee31541435778b06aa11,,0xc085429b89a5f7313cc1b81ed002cdc92b6f6c89,0xc1062b7c5dc8e4b1df9f200fe360cdc0ed6e7741,arb1,15,cctpv2,PENDING,YXJiMS8weGRkNzAyMWU3NzU1NTI0ODMyNTY2NjYwOTc1YjFmMTk3OGFmMzI4OTJmZDIwY2RjNDFhZWJhMmVkYjBjNTgwNDA
0xe283ac1faf91b495f0457116fd6865d1520a4157a220befe8901c1196b22765c,0xe283ac1faf91b495f0457116fd6865d1520a4157a220befe8901c1196b22765c,3DwfjqxASrEnp7qZn8xCzhSyvKHFLqYymfawNuQ5KxJmkHSB8XqrqAFuSekodA8RrMBCsBQRANatwgdbqz5D1Ep8,0x8de14e014402c0677b075a69122f94c0425cc179,3FiEzrcPnboLwnsfDSXW1huso7PgKgabtuUHRCYExRnF,arb1,solana,cctp,SUCCEEDED,YXJiMS84MjkwNzM
0x7f04dc076e545f9e35ecdfa217661ffeb0d5e4324ebdf95fac29a80f1353ec4d,0x7f04dc076e545f9e35ecdfa217661ffeb0d5e4324ebdf95fac29a80f1353ec4d,,0xbfd8bb757b5af58b4b51531ca11b6997104ab370,0xc1062b7c5dc8e4b1df9f200fe360cdc0ed6e7741,arb1,15,cctpv2,PENDING,YXJiMS8weDljYWE1ODgyMjEzNDljNzk5Y2FjMGE5MzgyYTI0MWY5OGQ3MjJiNzgwYzhmMTQ4OTM3ZTQ1OTJkMGZiNDBmYWM
0xfe40e856c8c46cfacdca5b67a11a6cc219f86639551712415ca4cf2ceae0aed1,0xfe40e856c8c46cfacdca5b67a11a6cc219f86639551712415ca4cf2ceae0aed1,,0x4fe4255767308925992cc01de8d57c86464b6d41,5Le63m4ES5QcoCLFjUwbtYWWQ3Mdx1WnNnMVcwFjUKkC,arb1,solana,cctpv2,PENDING,YXJiMS8weGEwMWJlNWM0NDgzY2M0MmIwNTJiNDIyZjExYTNhOWY3YmU4YTU4MWQ4YjAxMTQxOGQzNjQ3Y2VlMWY4M2ExYTM
0xce55e5bfb7bce016a8ba22ed0efadaa54d5ec0ac4af810084aad3e7a4daa2fee,0xce55e5bfb7bce016a8ba22ed0efadaa54d5ec0ac4af810084aad3e7a4daa2fee,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDk4MThiMzIwMGRiZmE1YjIyMzhlYjJlYzdkYzdiYmNlOTE4NTk4Y2IwZTk5NzA1NzI3NWM1OTczOGQ1Zjk4ZmM
0x1afed909f9af7b711c9f9340a5990f2eb3b58350b20b9089a2e4463699a4fc1b,0x1afed909f9af7b711c9f9340a5990f2eb3b58350b20b9089a2e4463699a4fc1b,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGRmZTU3YTU4NmQ0NzFhYmM2MGUwOGNiZmNhMTliN2Y1M2QxODI2OWI1MGRlODZhMGJjNzJkMDM1NTcxNzEyMWY
0x27f7a30562f6010d3db189c5942c59670044a517176637547d2bfdff6e2f94f4,0x27f7a30562f6010d3db189c5942c59670044a517176637547d2bfdff6e2f94f4,0xb43d1aedca035c909a7ea163e5b8ec6beb89c72c68378d87977c28b535383cd3,0x36c2a85887281f78ab62e76b5b57f711ad1fcbe1,0x36c2a85887281f78ab62e76b5b57f711ad1fcbe1,arb1,base,cctpv2,SUCCEEDED,YXJiMS8weGEyNTU4MWJiNjYxOGI3OTQ2NTliNDhjYTFhYWY3YmIzYjQxNTdjZTZhMjE1ODIxZmFkNGFjMDQ2YmJjOWE5N2Q
0x112080fab1dec445114970fc4567107dab48bacd6e01ea48ef80624664153cf8,0x112080fab1dec445114970fc4567107dab48bacd6e01ea48ef80624664153cf8,,0xa2f4fabb92879e8df7bdd021c6d9ef6030cc4444,0xc1062b7c5dc8e4b1df9f200fe360cdc0ed6e7741,arb1,15,cctpv2,PENDING,YXJiMS8weDllOGMwM2ViMzcyZjRiZWIwN2Y4OWFkMDNmNTkyZDQ4MWY4MDY5MmVmNTVmODE3ODY3MGEzZTdhY2YwZTQxMDg
